description,destination,origin,raw_data,row_index,schedule_times,service_no,source,vehicle_type
,KHARWARNAGAR BRT,City,City | 302V | KHARWARNAGAR BRT | MOTI VED,64,[],302V,table,
,KHARWAR NAGAR,City,City | 305 | KHARWAR NAGAR | UNN INDUSTRIAL ESTATE,65,[],305,table,
,KHARWAR NAGAR,City,City | 315 | KHARWAR NAGAR | BHESTAN GARDEN,66,[],315,table,
,KHARWARNAGAR BRT,City,City | 315B | KHARWARNAGAR BRT | VINDESHWAR MAHADEV TEMPLE,67,[],315B,table,
,KHARWAR NAGAR,City,City | 315G | KHARWAR NAGAR | BHESTAN GARDEN,68,[],315G,table,
,MAGOB GAM,City,City | 402 | MAGOB GAM | UTRAN RAILWAY STATION,69,[],402,table,
,SMC WARD OFFICE LIMBAYAT,City,City | 403 | SMC WARD OFFICE LIMBAYAT | SANKALP RESIDENCY,70,[],403,table,
,UTRAN LAKE GARDEN,City,City | 410A | UTRAN LAKE GARDEN | UTRAN LAKE GARDEN,71,[],410A,table,
,UTRAN LAKE GARDEN,City,City | 410C | UTRAN LAKE GARDEN | UTRAN LAKE GARDEN,72,[],410C,table,
,SMC WARD OFFICE LIMBAYAT,City,City | 413 | SMC WARD OFFICE LIMBAYAT | SARTHANA NATURE PARK BRT,73,[],413,table,
,AMEZIA AMUZEMENT PARK,City,City | 504 | AMEZIA AMUZEMENT PARK | BHESTAN GARDEN,74,[],504,table,
,AMEZIA AMUZEMENT PARK,City,City | 504S | AMEZIA AMUZEMENT PARK | BHESTAN GARDEN,75,[],504S,table,
,BAMROLI,City,City | 505 | BAMROLI | BUDIYA GAAM U,76,[],505,table,
,CHIKU WADI,City,City | 505C | CHIKU WADI | BUDIYA GAAM U,77,[],505C,table,
,SUNRISE VIDYALAY DINDOLI,City,City | 506 | SUNRISE VIDYALAY DINDOLI | VESU GAAM,78,[],506,table,
,DINDOLI FIRE STATION,City,City | 506D | DINDOLI FIRE STATION | VESU GAAM,79,[],506D,table,
,ADAJAN G.S.R.T.C.,City,City | 658 | ADAJAN G.S.R.T.C. | MORA CHAR RASTA,80,[],658,table,
,ISKCON CIRCLE,City,City | 706 | ISKCON CIRCLE | V.N.S.G. UNIVERSITY,81,[],706,table,
,SAI PUJAN RESIDENCY,City,City | 716 | SAI PUJAN RESIDENCY | GAIL INDIA LTD VIP ROAD U,82,[],716,table,
,SHREE GYANJYOT VIDHYALAY,City,City | 903 | SHREE GYANJYOT VIDHYALAY | SATYAM RESIDENCY PUNA GAAM,83,[],903,table,
,SDB-1,City,City | SDB-1 | KATARGAM BRT | SURAT DIAMOND BOURSE,84,[],,table,
,SDB-2,City,City | SDB-2 | MANGADH CHOWK | SURAT DIAMOND BOURSE,85,[],,table,
BRT,,,1: BRT,,,1,select_dropdown,
City,,,2: City,,,2,select_dropdown,
