routeId,routeCode,customerRouteCode,route,startName,endName,startStopCode,endStopCode,startTime,endTime,days,linetype,Variant
188,52-U,52,Ahavadiya Talav(New Ranip) - Thol Gam(SardarChowk),Ahvadiya Talav(New Ranip),Thol Gam (Saradar Chowk),5874,9303,08:10:00,18:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
189,52-VT-U,52,Vadaj - Thol Gam(Sardar Chowk),Vadaj,Thol Gam (Saradar Chowk),2107,9303,06:15:00,06:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
190,52/2-D,52/2,Sattadhar Society - Maninagar,Sattadhar Society,Maninagar,3976,1310,06:30:00,22:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
191,30-U,30,Maninagar - Karnavati Chowk-4 (New Narol),Maninagar,Karnavati Chowk-4 (New Narol),3215,1800,05:40:00,20:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
192,33-ML-D,33,S.P.Ring Road (Odhav Gidc) - Lal Darwaja,S.P.Ring Road (Odhav Gidc),Lal Darwaja,4909,1077,12:20:00,23:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
193,30/2-D,30/2,Vatva Railway Crossing - Sarkhej Gam,Vatva Railway Crossing,Sarkhej Gam,5321,1273,07:05:00,10:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
194,30/2-VI-D,30/2,Vatva Railway Crossing - Isanpur(Vatva Cross Road),Vatva Railway Crossing,Isanpur-Vatva Cross Road,5321,5329,13:40:00,13:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
195,30/2-NV-U,30/2,Narol Circle - Vatva Railway Crossing,Narol Circle,Vatva Railway Crossing,4537,4541,06:30:00,06:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
197,30/2-U,30/2,Sarkhej Gam - Vatva Railway Crossing,Sarkhej Gam,Vatva Railway Crossing,1149,4541,08:35:00,12:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
200,31-D,31,Meghaninagar - Sarkhej Gam,Meghaninagar,Sarkhej Gam,1248,1273,06:25:00,20:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
203,31-MS-D,31,Meghaninagar - Lal Darwaja,Meghaninagar,Lal Darwaja,1248,4104,19:00:00,22:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
205,31/4-VK-U,31/4,Paldi - Kasindra Gam,Paldi,Kasindra Gam,1346,4562,06:25:00,06:25:00,"1,2,3,4,5,6,7",AMTS,NORMAL
206,31/5-D,31/5,Motipura Chokdi(Sanand) - Lal Darwaja,Motipura Chokdi(Sanand),Lal Darwaja,6496,4104,06:25:00,23:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
208,31/5-U,31/5,Lal Darwaja - Motipura Chokdi(Sanand),Lal Darwaja,Motipura Chokdi(Sanand),4104,6495,05:20:00,22:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
209,31-SbS-D,31,Lal Darwaja - Sarkhej Gam,Lal Darwaja,Sarkhej Gam,4104,1273,05:40:00,08:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
211,31-SM-U,31,Lal Darwaja - Meghaninagar,Lal Darwaja,Meghaninagar,8721,1247,05:55:00,09:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
212,31/4-U,31/4,Lal Darwaja - Kasindra Gam,Lal Darwaja,Kasindra Gam,4104,4562,07:25:00,18:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
213,58-KaT-D,58,Kailasnagar - Thaltej Gam,Kailasnagar,Thaltej Gam,3841,2995,06:00:00,09:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
214,31sh-D,31sh,Lal Darwaja - Sarkhej Gam,Sardarbag,Sarkhej Gam,1127,1273,05:10:00,21:42:00,"1,2,3,4,5,6,7",AMTS,NORMAL
215,31-SS-U,31,Sarkhej Gam - Lal Darwaja,Sarkhej Gam,Lal Darwaja,1149,8721,19:00:00,22:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
217,31-U,31,Sarkhej Gam - Meghaninagar,Sarkhej Gam,Meghaninagar,1149,1247,06:20:00,20:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
218,31/1-D,31/1,Aradhna Residency(Fatehwadi Kenal) - Lal Darwaja ,Aradhana Residency (Fateh wadi Kenal),Lal Darwaja,8487,1077,07:05:00,19:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
219,31/1-U,31/1,Lal Darwaja - Aradhana Residency(Fatehwadi Kenal),Lal Darwaja,Aradhana Residency (Fateh wadi Kenal),1125,8492,06:25:00,18:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
220,31/4-D,31/4,Kasindra Gam - Lal Darwaja,Kasindra Gam,Lal Darwaja,5339,4104,07:35:00,19:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
221,31/4-KV-D,31/4,Kasindra Gam - Paldi,Kasindra Gam,Paldi,5339,1293,18:15:00,18:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
222,34/3-D,34/3,Adani Vidyavihar - Lal Darwaja,Adani Vidyavihar,Lal Darwaja,5365,4104,07:10:00,18:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
223,31sh-U,31sh,Sarkhej Gam - Lal Darwaja,Sarkhej Gam,Sardarbag,1149,1075,05:35:00,22:49:00,"1,2,3,4,5,6,7",AMTS,NORMAL
224,32-D,32,Sahyadri Bunglows - But Bhavani Mandir,Sahyadri Bunglows,But Bhavani Mandir,1320,1365,07:40:00,19:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
226,32-VB-D,32,Lal Darwaja - But Bhavani Mandir,Lal Darwaja,But Bhavani Mandir,5976,1365,06:10:00,07:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
227,32-BV-U,32,But Bhavani Mandir - Lal Darwaja,But Bhavani Mandir,Lal Darwaja,1274,5976,19:05:00,21:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
228,32-U,32,But Bhavani Mandir - Sahyadri Bunglows,But Bhavani Mandir,Sahyadri Bunglows,1274,1319,06:35:00,18:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
230,33-D,33,S.P.Ring Road (Odhav Gidc) - Vasna,S.P.Ring Road (Odhav Gidc),Vasna,4909,3713,06:05:00,20:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
232,35-U,35,Lal Darwaja - Bavla,Lal Darwaja,Bavla,4104,6154,05:15:00,21:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
235,34/5-BS-U,34/5,But Bhavani Mandir - Lal Darwaja,But Bhavani Mandir,Lal Darwaja,1274,8721,19:10:00,21:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
238,42-U,42,Nigam Society - Shilaj Gam,Nigam Society,Shilaj Gam,3063,3004,07:15:00,18:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
239,SP1-AN-U,SP1,Aslali Circle - Nana Chiloda(Mnu.Octroi),Aslali Circle,Nana Chiloda(Mnu.Octroi),9984,3939,19:00:00,20:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
243,33-LS-U,33,Lal Darwaja - S.P.Ring Road (Odhav Gidc),Lal Darwaja,S.P.Ring Road (Odhav Gidc),5976,4133,05:20:00,15:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
245,33-U,33,Vasna - S.P.Ring Road (Odhav Gidc),Vasna,S.P.Ring Road (Odhav Gidc),3713,4133,06:25:00,21:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
246,33-VL-U,33,Vasna - Lal Darwaja,Vasna,Lal Darwaja,1286,1125,12:07:00,22:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
249,33/1-LV-D,33/1,Lal Darwaja - Vaishali Township,Lal Darwaja,Vaishali Township,4104,2081,07:05:00,19:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
250,SP1-AS-U,SP1,Aslali Circle - Lal Darwaja,Aslali Circle,Lal Darwaja,9984,1077,19:00:00,22:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
251,SP1-U,SP1,Aslali Circle - Ranasan Circle,Aslali Circle,Ranasan Circle,9984,5823,07:00:00,18:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
255,33/1-VL-U,33/1,Vaishali Township - Lal Darwaja,Vaishali Township,Lal Darwaja,2039,4104,07:45:00,19:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
260,37/4-BS-D,37/4,But Bhavani Mandir - Sarangpur,But Bhavani Mandir,Sarangpur,1274,2270,12:40:00,20:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
261,34/3-U,34/3,Lal Darwaja - Adani Vidyavihar,Lal Darwaja,Adani Vidyavihar,4104,4580,06:25:00,17:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
262,34/4-D,34/4,But Bhavani Mandir - Lal Darwaja,But Bhavani Mandir,Lal Darwaja,1365,4104,07:00:00,21:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
263,34/4-U,34/4,Lal Darwaja - But Bhavani Mandir,Lal Darwaja,But Bhavani Mandir,4104,1365,06:15:00,21:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
264,34/5-D,34/5,Kalapinagar - But Bhavani Mandir,Kalapinagar,But Bhavani Mandir,1100,1365,06:25:00,20:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
265,34/5-KS-D,34/5,Kalapinagar - Lal Darwaja,Kalapinagar,Lal Darwaja,1100,4104,19:00:00,20:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
266,51Ri-T-D,51Ri,Shilaj Gam - Lal Darwaja,Shilaj Gam,Lal Darwaja,3005,8431,20:05:00,20:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
267,34/5-SB-D,34/5,Lal Darwaja- But Bhavani Mandir,Lal Darwaja,But Bhavani Mandir,4104,1365,05:55:00,07:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
268,40-U,40,Vadaj Terminal - Meda-Adraj Gam,Vadaj,Meda-Adraj Gam,2033,8149,05:55:00,18:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
270,34/5-SK-U,34/5,Lal Darwaja - Kalapinagar,Lal Darwaja,Kalapinagar,8721,1588,06:00:00,08:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
271,34/5-U,34/5,But Bhavani Mandir - Kalapinagar,But Bhavani Mandir,Kalapinagar,1274,1588,06:25:00,19:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
272,35-D,35,Bavla - Lal Darwaja,Bavla,Lal Darwaja,6154,4104,06:35:00,22:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
277,36/1-D,36/1,Sarkhej Roza - Sarangpur,Sarkhej Roza,Sarangpur,5377,1489,06:50:00,18:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
279,36/1-U,36/1,Sarangpur - Sarkhej Roza,Sarangpur,Sarkhej Roza,1204,5371,06:00:00,17:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
282,37/4-D,37/4,But Bhavani Mandir - Sarangpur,But Bhavani Mandir,Sarangpur,1274,2270,06:40:00,18:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
285,37/4-U,37/4,Sarangpur - But Bhavani Mandir,Sarangpur,But Bhavani Mandir,1844,1365,05:55:00,19:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
286,51sh-LS-U,51sh,Lal Darwaja - Shilaj Gam,Lal Darwaja,Shilaj Gam,8431,3004,05:25:00,22:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
287,51sh-U,51sh,Lal Darwaja - Rancharda Gam,Lal Darwaja,Rancharda Gam,8431,3385,07:10:00,19:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
288,51T-D,51T,Thol Gam (Saradar Chowk) - Lal Darwaja,Thol Gam (Saradar Chowk),Lal Darwaja,9304,8431,06:45:00,21:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
290,37sh-BS-D,37sh,Bapunagar - Kalupur Terminus,Bapunagar,Kalupur Terminus,4416,8917,19:05:00,19:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
291,37sh-D,37sh,Bapunagar - Vasna,Bapunagar,Vasna,4416,1598,06:30:00,16:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
294,37sh-SB-U,37sh,Kalupur Terminus - Bapunagar,Kalupur Terminus,Bapunagar,4819,4164,06:05:00,06:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
297,37sh-U,37sh,Vasna - Bapunagar,Vasna,Bapunagar,1286,4164,07:30:00,17:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
301,40/1-D,40/1,Vinobabhavenagar - Iskon Mandir,Vinobabhavenagar,Iskon Mandir,3886,3918,06:10:00,19:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
302,40/1-MI-D,40/1,Maninagar - Iskon Mandir,Maninagar,Iskon Mandir,1329,3918,05:30:00,15:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
305,38/1-D,38/1,Krushnanagar - Vaishali Township,Krushnanagar,Vaishali Township,1702,2081,07:40:00,12:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
307,38/1-LK-U,38/1,Lal Darwaja - Krushnanagar,Lal Darwaja,Krushnanagar,1125,1747,07:10:00,07:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
308,38/1-U,38/1,Vaishali Township - Krushnanagar,Vaishali Township,Krushnanagar,2039,1747,07:41:00,10:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
309,38/1-VV-U,38/1,Vaishali Township - Vasna,Vaishali Township,Vasna,2039,1286,13:30:00,13:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
310,39/3-BS-D,39/3,But Bhavani Mandir - Sarangpur,But Bhavani Mandir,Sarangpur,1274,2270,12:10:00,21:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
311,39/3-D,39/3,But Bhavani Mandir - Bhakti Circle,But Bhavani Mandir,Bhakti Circle,1274,5639,08:00:00,17:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
312,39/3-SK-D,39/3,Sarangpur - Bhakti Circle,Sarangpur,Bhakti Circle,2270,5639,06:00:00,14:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
314,55-U,55,Lal Darwaja - Arvind Polycoat,Lal Darwaja,Arvind Polycoat (Khatraj),1125,2764,05:25:00,21:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
