routeId,routeCode,customerRouteCode,route,startName,endName,startStopCode,endStopCode,startTime,endTime,days,linetype,Variant
269,11U-AO,11U,Ajit Mill - Odhav Ring Road,Ajit Mill Char Rasta,SP Ring Road Approach,160,158,07:15:00,07:55:00,"1,2,3,4,5,6,7",BRTS,NORMAL
272,11U-LO,11U,LD Engg. College - Odhav Ring Road,LD Engg. College,SP Ring Road Approach,236,158,07:00:00,22:49:00,"1,2,3,4,5,6,7",BRTS,NORMAL
273,11U-LS,11U,LD Engg.College - Soma Textiles,LD Engg. College,Soma Textiles,236,228,21:37:00,22:39:00,"1,2,3,4,5,6,7",BRTS,NORMAL
282,12U-RL,12U,R.T.O Circle - Rabari Colony,R.T.O Circle,Rabari Colony,318,96,06:00:00,21:10:00,"1,2,3,4,5,6,7",BRTS,NORMAL
283,12U-RP,12U,R.T.O Circle - Rameshwar Park,R.T.O Circle,Rameshwar Park,318,100,09:42:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
299,14D-OS,14D,Odhav Ring Road - Sanand Circle,SP Ring Road Approach,Sanand Circle,157,349,06:00:00,18:15:00,"1,2,3,4,5,6,7",BRTS,NORMAL
300,14D-SS,14D,Sarangpur Darwaja - Sanand Circle,Sarangpur Darwaja,Sanand Circle,201,349,07:10:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
304,101,101,R.T.O(Circular)-,R.T.O Circle,R.T.O Circle,1,318,06:00:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
310,14S-JS,14S,Jaimangal - Sanand Circle,Jaimangal,Sanand Circle,13,348,06:00:00,16:20:00,"1,2,3,4,5,6,7",BRTS,NORMAL
314,14E-SJ,14E,Sanand Circle - Jaimangal,Sanand Circle,Jaimangal,349,14,12:24:00,12:54:00,"1,2,3,4,5,6,7",BRTS,NORMAL
326,14U-SO,14U,Sanand Circle - Odhav Ring Road,Sanand Circle,SP Ring Road Approach,348,158,11:14:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
327,14U-SS,14U,Sanand Circle - Sarangpur Darwaja,Sanand Circle,Sarangpur Darwaja,348,202,06:20:00,21:55:00,"1,2,3,4,5,6,7",BRTS,NORMAL
329,15D,15D,Iskcon Cross Road - R.T.O Circle,ISKCON Cross Road,R.T.O Circle,143,1,06:15:00,22:45:00,"1,2,3,4,5,6,7",BRTS,NORMAL
330,15D-IA,15D,Iskcon Cross Road - Ahmedabad Domestic Airport,ISKCON Cross Road,Ahmedabad Domestic Airport,143,1001,06:00:00,22:10:00,"1,2,3,4,5,6,7",BRTS,NORMAL
